model_key,protein,uniprot_id,model_type,threshold,qsar_model_run,status,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,confusion_matrix,n_target_bioactivity_datapoints,n_expanded_proteins,n_expanded_bioactivity_datapoints,n_train_samples,n_test_samples,train_class_distribution,test_class_distribution,n_features,similar_proteins
CYP2D6_P10635_B_low,CYP2D6,P10635,B,low,Yes,success,0.6639344262295082,0.6640727931488801,0.6654935851746258,0.6790909090909091,0.6590909090909091,"[[21, 10, 5], [7, 28, 7], [0, 12, 32]]",2820,51,2213,N/A,N/A,"{'High': '1283 (0.476)', 'Low': '720 (0.267)', 'Medium': '695 (0.258)'}","{'High': '44 (0.361)', 'Medium': '42 (0.344)', 'Low': '36 (0.295)'}",3023,N/A
CYP3A4_P08684_A,CYP3A4,P08684,A,N/A,Yes,success,0.6438848920863309,0.648081368469718,0.6453137628593381,0.650784733369003,0.646418935274565,"[[57, 25, 4], [25, 59, 17], [7, 21, 63]]",1387,"","",N/A,N/A,"{'Medium': '401 (0.362)', 'High': '365 (0.329)', 'Low': '343 (0.309)'}","{'Medium': '101 (0.363)', 'High': '91 (0.327)', 'Low': '86 (0.309)'}",2063,N/A
CYP3A4_P08684_B_high,CYP3A4,P08684,B,high,Yes,success,0.6474820143884892,0.6511849732188716,0.6485826087094226,0.6527638445559102,0.6502316472383246,"[[56, 26, 4], [27, 58, 16], [7, 18, 66]]",1406,6,19,N/A,N/A,"{'Medium': '405 (0.359)', 'High': '373 (0.331)', 'Low': '350 (0.310)'}","{'Medium': '101 (0.363)', 'High': '91 (0.327)', 'Low': '86 (0.309)'}",3023,N/A
CYP3A4_P08684_B_medium,CYP3A4,P08684,B,medium,Yes,success,0.6474820143884892,0.6511849732188716,0.6485826087094226,0.6527638445559102,0.6502316472383246,"[[56, 26, 4], [27, 58, 16], [7, 18, 66]]",1406,6,19,N/A,N/A,"{'Medium': '405 (0.359)', 'High': '373 (0.331)', 'Low': '350 (0.310)'}","{'Medium': '101 (0.363)', 'High': '91 (0.327)', 'Low': '86 (0.309)'}",3023,N/A
CYP3A4_P08684_B_low,CYP3A4,P08684,B,low,Yes,success,0.6438848920863309,0.6479541624536568,0.6452696568730859,0.6518587232872948,0.6475702131930545,"[[59, 24, 3], [29, 57, 15], [10, 18, 63]]",3285,19,1898,N/A,N/A,"{'High': '1761 (0.586)', 'Medium': '714 (0.237)', 'Low': '532 (0.177)'}","{'Medium': '101 (0.363)', 'High': '91 (0.327)', 'Low': '86 (0.309)'}",3023,N/A
AOX1_Q06278_unknown,AOX1,Q06278,unknown,N/A,No,no_thresholds,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
XDH_P47989_A,XDH,P47989,A,N/A,Yes,success,0.85,0.812962962962963,0.8408333333333333,0.9333333333333332,0.7555555555555555,"[[2, 1, 0], [0, 12, 0], [0, 2, 3]]",98,"","",N/A,N/A,"{'Medium': '50 (0.641)', 'High': '18 (0.231)', 'Low': '10 (0.128)'}","{'Medium': '12 (0.600)', 'High': '5 (0.250)', 'Low': '3 (0.150)'}",2063,N/A
XDH_P47989_B_high,XDH,P47989,B,high,Yes,success,0.85,0.812962962962963,0.8408333333333333,0.9333333333333332,0.7555555555555555,"[[2, 1, 0], [0, 12, 0], [0, 2, 3]]",470,2,372,N/A,N/A,"{'Low': '156 (0.347)', 'High': '150 (0.333)', 'Medium': '144 (0.320)'}","{'Medium': '12 (0.600)', 'High': '5 (0.250)', 'Low': '3 (0.150)'}",3023,N/A
XDH_P47989_B_medium,XDH,P47989,B,medium,Yes,success,0.85,0.812962962962963,0.8408333333333333,0.9333333333333332,0.7555555555555555,"[[2, 1, 0], [0, 12, 0], [0, 2, 3]]",470,3,372,N/A,N/A,"{'Low': '156 (0.347)', 'High': '150 (0.333)', 'Medium': '144 (0.320)'}","{'Medium': '12 (0.600)', 'High': '5 (0.250)', 'Low': '3 (0.150)'}",3023,N/A
XDH_P47989_B_low,XDH,P47989,B,low,Yes,success,0.85,0.812962962962963,0.8408333333333333,0.9333333333333332,0.7555555555555555,"[[2, 1, 0], [0, 12, 0], [0, 2, 3]]",724,12,626,N/A,N/A,"{'Low': '251 (0.357)', 'High': '231 (0.328)', 'Medium': '222 (0.315)'}","{'Medium': '12 (0.600)', 'High': '5 (0.250)', 'Low': '3 (0.150)'}",3023,N/A
